dL01G01: CVE-2022-0451
L01G02: CVE-2023-28432
L01G03: CVE-2021-30551
L01G04: CVE-XXXX-YYYYY
L01G05: CVE-2017-0199
L01G06: CVE-2018-8174
L01G07: CVE-2023-27350
L01G08: CVE-2023-34362
L01G09: CVE-2022-22954
L01G10: CVE-2022-42339
L02G01: CVE-2022-0787
L02G02: CVE-2022-46670
L02G03: CVE-2022-21661
L02G04: CVE-2022-1096
L02G05: CVE-2019-9787
L02G06: CVE-2022-46096
L02G07: CVE-2016-6415
L02G08: CVE-2020-0601
L02G09: CVE-2023-26369
L03G01: CVE-2020-6109
L03G02: CVE-2023-42454
L03G03: CVE-2022-0609
L03G04: CVE-2018-8120
L03G05: CVE-2012-4681
L03G06: CVE-2015-1701
L03G07: CVE-2018-13342
L03G08: CVE-2019-0708
L03G09: CVE-2017-8930
L04G01: CVE-2023-23397
L04G02: CVE-2018-4878
L04G03: CVE-2023-4863
L04G04: CVE-2022-44877
L04G05: CVE-2022-30190
L04G06: CVE-2022-0847
L04G07: CVE-2016-4655
L04G08: CVE-XXXX-YYYYY
L04G09: CVE-XXXX-YYYYY
L05G01: CVE-2022-46824
L05G02: CVE-2022-36689
L05G03: CVE-2021-42237
L05G04: CVE-2021-3156
L05G05: CVE-2017-5753
L05G06: CVE-2021-20090
L05G07: CVE-2019-1225
L05G08: CVE-2022-22965
L05G09: CVE-2023-38831
L06G01: CVE-2021-44228
L06G02: CVE-2017-0144
L06G03: CVE-2019-11510
L06G04: CVE-2022-0778
L06G05: CVE-2010-2568
L06G06: CVE-2014-0160
L06G07: CVE-2022-0847
L06G08: CVE-2019-1367
L06G09: CVE-2022-24126
L06G10: CVE-2018-16020
L08G01: CVE-2019-8600
L08G02: CVE-2021-3560
L08G03: CVE-2023-40944
L08G04: CVE-2021-3129
L08G05: CVE-2020-15914
L08G06: CVE-2023-37627
L08G07: CVE-2023-38590
L08G08: CVE-2016-5195
L08G09: CVE-2023-42468
L09G01: CVE-2022-24706
L09G02: CVE-2023-38831
L09G03: CVE-2020-6418
L09G04: CVE-2022-41082
L09G05: CVE-2021-22205
L09G06: CVE-XXXX-YYYYY
L09G07: CVE-2016-10045
L09G08: CVE-2017-7494
L09G09: CVE-2023-3519
L09G10: CVE-2021-3156
L10G01: CVE-2019-5759
L10G02: CVE-2012-6636
L10G03: CVE-2022-31459
L10G04: CVE-2019-6958
L10G05: CVE-2017-11882
L10G06: CVE-2021-30481
L10G07: CVE-2020-1472
L10G08: CVE-2023-41387
L10G09: CVE-2022-30190
L11G01: CVE-2018-2628
L11G02: CVE-2015-7547
L11G03: CVE-2018-0802
L11G04: CVE-2022-47949
L11G05: CVE-2023-4841
L11G06: CVE-2023-2982
L11G07: CVE-2021-36942
L11G08: CVE-2021-44228
L11G09: CVE-2021-26855
L12G01: CVE-2022-22965
L12G02: CVE-2019-11600
L12G03: CVE-2008-0546
L12G04: CVE-2014-0160
L12G05: CVE-2012-5613
L12G06: CVE-2013-6632
L12G07: CVE-2022-45149
L12G08: CVE-2016-8582
L12G09: CVE-XXXX-YYYYY
L14G01: CVE-2023-23392
L14G02: CVE-2022-24112
L14G03: CVE-2017-5638
L14G04: CVE-2023-20269
L14G05: CVE-XXXX-YYYYY
L14G06: CVE-2014-6271
L14G07: CVE-2022-1388
L14G08: CVE-2019-17180
L14G09: CVE-2023-39147
L14G10: CVE-2022-24125
